DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
3217.195312,0.324292,2910.347656,2832.592773,-668.238770,16.081802,823.214050,823.214050,YES,NO,0.321422,1042.358887,-24.152374
3170.319336,0.273124,2229.743164,2193.285889,-401.561096,21.899147,501.329407,501.329407,NO,NO,0.417950,-146.762650,-4.205788
2929.384766,-0.266940,2541.491699,2503.729980,436.481689,15.644104,-535.223022,535.223022,NO,YES,0.733469,251.445007,2.125103
2880.435059,-0.155828,2705.625244,2666.353516,459.311920,5.074760,-381.092285,381.092285,YES,YES,0.763924,-142.965118,22.263020
3447.505371,0.716468,2839.897949,2801.219727,-467.107422,12.094910,796.018188,796.018188,NO,NO,0.248604,224.051147,-1.635429
3657.293701,0.442155,3236.582764,3207.133057,-435.620056,-8.319672,909.846924,909.846924,NO,NO,0.185015,227.474213,29.998238
3371.978271,0.231758,2980.011475,2955.741943,379.550171,22.299316,-722.455994,722.455994,NO,NO,0.174821,-104.725685,27.103683
3164.901123,-0.116249,2682.057129,2647.806396,-427.261078,14.913925,436.148621,436.148621,YES,NO,0.368025,-83.182793,74.989853
3336.668213,-0.376856,2966.112793,2933.804199,436.598633,11.036530,-848.959717,848.959717,NO,NO,0.183381,551.062134,42.948959
2937.897461,0.117144,2676.361084,2636.930176,-457.719788,-2.244072,410.303101,410.303101,YES,YES,0.578306,256.534088,-4.870125
3288.400635,-0.204683,2939.508545,2902.796143,463.126709,7.800583,-253.462234,253.462234,YES,NO,0.205197,217.772827,7.294926
2939.500732,-0.116805,2162.907715,2120.197754,427.705444,14.739388,-529.808716,529.808716,YES,YES,0.780336,258.411224,5.177946
3066.037598,-0.339855,2539.303223,2484.135010,526.434814,11.568161,-772.457397,772.457397,YES,YES,0.557378,245.703873,0.459755
3201.363037,0.541072,2753.599609,2721.267578,-420.728943,-9.731445,371.177979,371.177979,NO,NO,0.337047,255.160416,-9.824730
3084.894043,0.338489,2709.748535,2671.677979,-452.630157,12.090271,314.614349,314.614349,YES,NO,0.423309,54.777821,-22.595310
2934.126709,-0.113453,2671.082520,2626.525146,485.846069,10.823847,-370.265167,370.265167,YES,YES,0.709976,257.369995,8.154573
3100.603516,0.185947,2310.491699,2286.324951,-333.301483,7.723305,669.494080,669.494080,NO,NO,0.478103,258.047699,-0.861725
2843.171387,-0.141736,2638.711914,2602.927490,433.090668,7.634693,-412.476074,412.476074,YES,YES,0.809807,184.510956,1.746702
3848.452148,0.588237,3557.958984,3544.846191,305.187866,16.599091,-631.928528,631.928528,NO,NO,0.081246,-86.367012,-39.902912
3208.170410,-0.513156,2809.444092,2756.356201,543.576843,17.612549,-669.993835,669.993835,YES,NO,0.301406,256.947723,1.031944
2944.044922,-0.305601,2832.081543,2801.814209,-412.944763,35.169189,748.378784,748.378784,YES,YES,0.541045,-108.666786,-32.585796
