DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
2888.170410,-0.335090,2364.708740,2326.488037,423.440063,4.894226,-469.151123,469.151123,YES,YES,0.805946,-89.734238,-0.851290
2944.184082,0.154153,2616.014404,2574.674072,463.233124,38.106354,-793.865967,793.865967,YES,YES,0.704300,237.580231,75.791550
3379.139160,0.136652,3244.725586,3218.325684,413.064819,21.382645,-762.812805,762.812805,NO,NO,0.137798,-107.182701,20.172117
3078.904785,-0.325081,2745.781006,2703.328857,480.963806,29.678024,-870.520996,870.520996,NO,NO,0.480105,256.881012,6.862373
3359.765137,-0.342935,2941.967041,2914.729248,399.404236,13.759460,-789.231323,789.231323,NO,NO,0.182065,1038.067627,16.604187
3349.945312,0.187482,2837.271729,2805.731689,-421.878052,1.999130,311.075623,311.075623,NO,NO,0.269269,251.127548,-6.569805
3869.468506,0.649282,3469.867920,3438.801758,-463.279419,9.240784,782.643677,782.643677,NO,NO,0.141648,257.611206,-3.872513
3177.237305,-0.427636,2567.661133,2529.563477,440.672485,11.112000,-849.004395,849.004395,NO,NO,0.369551,259.089691,5.537498
3316.575684,-0.120285,3153.552979,3125.827637,417.251221,16.195641,-791.811523,791.811523,NO,NO,0.164570,-97.392403,2.527331
2806.430420,0.123150,2610.187744,2569.498779,-459.080872,-13.458096,333.702881,333.702881,YES,YES,0.742009,256.720337,-9.235973
2952.128418,-0.100764,2652.370117,2613.932861,449.913849,24.043575,-390.278625,390.278625,YES,YES,0.683770,250.298325,8.217964
2775.665039,0.484314,1881.402588,1849.552490,-344.718109,13.074463,765.013977,765.013977,NO,YES,0.872557,256.243622,-7.899185
3237.033447,0.361315,3177.098633,3153.220215,388.789612,22.999039,-726.912842,726.912842,NO,NO,0.204650,-117.354256,27.244926
2923.164307,-0.529736,2478.513916,2430.919678,483.385376,10.845490,-898.549866,898.549866,YES,YES,0.760068,259.091431,5.302689
2922.193848,-0.274935,2799.080566,2764.037598,-441.528625,27.449951,783.043274,783.043274,YES,YES,0.571762,-112.223335,-48.533440
3025.664795,0.160714,2773.362549,2735.302979,-457.885468,4.731461,502.928101,502.928101,YES,NO,0.465417,255.728439,-4.694084
3113.812500,0.189600,2853.740967,2817.403564,-453.952698,11.189674,452.610657,452.610657,YES,NO,0.378268,107.453285,-16.817799
3413.802002,0.512702,2100.904297,2072.471191,-344.473022,8.892853,729.424744,729.424744,NO,NO,0.288974,254.691986,-6.408997
2958.072754,-0.308751,2604.836182,2567.970215,436.693542,-7.595222,-405.049774,405.049774,YES,YES,0.683478,56.985424,10.266199
3302.271729,-0.104428,3165.897461,3137.148438,425.684723,22.731133,-541.637085,541.637085,NO,NO,0.166738,11.439344,19.777819
