DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
3091.520508,0.043795,2264.921143,2239.152588,340.679596,-31.141605,-120.268761,120.268761,YES,NO,0.128888,-95.587151,45.176273
3036.007080,0.158288,2793.692139,2763.642334,-408.651123,-17.325932,173.183578,173.183578,NO,NO,0.318559,-148.546997,-32.728493
3005.886475,0.258359,2604.305664,2578.435547,-366.166718,3.318428,350.457855,350.457855,NO,NO,0.101750,180.135849,-20.619738
2948.454346,0.180039,2370.560791,2343.663574,-356.089417,-8.307190,332.148590,332.148590,NO,NO,0.301333,-89.168694,-39.414249
3031.066895,0.137708,2870.324951,2841.214600,-407.757935,-30.014320,233.350357,233.350357,NO,NO,0.227114,-142.362839,-19.902201
3157.597900,0.249314,2856.620361,2831.230957,-380.015717,-7.957245,314.678253,314.678253,NO,NO,0.042652,256.741760,-8.912354
3038.043945,0.035016,2627.944824,2607.443115,327.618530,19.309347,-682.385559,682.385559,NO,NO,0.013296,-137.745209,-9.284512
3051.074951,0.090235,2829.692383,2806.788818,359.298340,22.143700,-702.596863,702.596863,NO,NO,0.025023,-146.686584,44.207542
2963.559082,-0.198299,2703.161377,2675.095459,388.517334,-9.829556,-227.738968,227.738968,NO,NO,0.254396,107.733223,25.978344
2975.947021,-0.220179,2692.293945,2664.665039,384.717163,14.116753,-273.382202,273.382202,NO,NO,0.202338,-139.772400,21.434418
3007.894531,-0.154602,2607.981689,2587.513916,-326.099213,23.531746,652.125000,652.125000,NO,NO,0.014527,103.800842,-38.190945
1659.707642,0.031895,785.074829,760.014587,-196.774780,20.711981,563.879456,563.879456,YES,YES,0.998443,253.579636,2.207741
1931.610229,0.330966,1532.446655,1457.173828,-474.380768,-67.308907,379.737640,379.737640,YES,YES,0.999991,543.549805,52.740479
2112.676025,0.403142,1704.093628,1642.350708,-454.553833,-100.277832,345.916443,345.916443,YES,YES,0.999776,417.449280,9.078522
2000.860718,0.228878,1794.308350,1760.857544,-344.852661,28.985306,605.347534,605.347534,YES,YES,0.990402,-149.809952,-36.214664
1477.972900,-0.242203,702.512512,645.134827,278.073669,29.938408,-472.410950,472.410950,YES,YES,1.000000,253.896744,17.388508
1398.790649,0.344172,631.264709,611.550964,-156.526703,7.347321,523.328308,523.328308,NO,YES,0.999219,252.219254,-7.020287
1848.031738,0.140599,1592.298950,1546.857178,-377.689026,19.541534,551.709106,551.709106,YES,YES,0.998768,253.249329,-5.685173
2021.735840,-0.258103,963.974548,946.288025,183.809677,19.028038,-538.993835,538.993835,NO,YES,0.953986,250.181442,10.256485
1287.269653,0.133544,828.740234,765.989929,-316.338135,14.212863,210.132553,210.132553,YES,YES,1.000000,249.230621,-24.507153
1868.463989,0.129592,886.791748,866.935059,-186.609894,12.400558,552.611450,552.611450,NO,YES,0.986432,252.649994,-0.505701
