DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4636.196289,-0.096618,4180.525879,4162.058594,392.508820,8.964886,-619.400024,619.400024,NO,NO,0.000208,258.435516,1.926950
4530.264648,-0.099325,4024.495605,4001.347412,431.027069,3.237902,-311.588226,311.588226,NO,NO,0.000721,-120.720680,88.857338
4425.225586,-0.100827,3820.696045,3797.577637,419.667755,15.197609,-790.403320,790.403320,NO,NO,0.000854,-112.291466,10.713466
4389.141602,-0.080839,3767.659180,3739.318604,461.251404,-61.176903,125.434929,-125.434929,NO,NO,0.003237,255.061661,8.928116
4366.856445,0.069112,4124.576660,4096.032227,-484.409943,-64.022682,-100.479187,-100.479187,NO,NO,0.003368,255.617798,-5.685770
4406.970703,0.099412,4164.908691,4143.929199,-417.512024,9.294647,788.408081,788.408081,NO,NO,0.000441,-107.829880,-4.331637
4612.196777,0.065599,4326.472656,4304.070801,-439.705200,9.796959,694.008545,694.008545,NO,NO,0.000500,-136.054825,98.285332
4338.622559,-0.070275,4016.489990,3989.924072,461.193268,12.486698,-843.582336,843.582336,NO,NO,0.002103,-107.419266,12.208031
4444.334961,-0.084867,4097.604492,4073.618164,442.715790,-0.279392,-581.781860,581.781860,NO,NO,0.000877,258.739380,3.162624
4423.526855,0.067843,4045.369629,4018.688965,-463.847229,12.928642,190.274872,190.274872,NO,NO,0.001784,255.606232,-3.967132
4586.351074,-0.081159,4332.650391,4305.861328,481.059631,-109.287979,120.964317,-120.964317,NO,NO,0.001286,76.175682,55.511795
4387.009766,-0.080928,4247.933594,4221.231445,475.547913,-53.006199,-108.208138,108.208138,NO,NO,0.001929,255.544327,5.196449
4407.304688,-0.077731,4282.598633,4255.413086,481.779694,-65.991066,-40.368603,40.368603,NO,NO,0.002104,131.728775,0.577893
3786.756104,0.575864,3236.732666,3213.239746,-389.268311,6.483093,801.147705,801.147705,NO,NO,0.003673,257.157410,-6.115463
2486.231934,0.479305,2149.592041,2138.696289,216.154968,25.425110,-467.307709,467.307709,NO,NO,0.038535,260.062836,0.506424
3012.267822,0.324060,2846.153076,2821.814941,371.412292,23.594849,-704.552368,704.552368,NO,NO,0.045176,-86.191910,71.368820
3120.341553,0.524621,2537.166504,2501.209229,-425.635254,-16.589310,312.432983,312.432983,YES,YES,0.740329,257.318115,-10.389610
3316.464844,0.657475,2500.275879,2469.954590,-388.205505,7.602417,804.950989,804.950989,NO,NO,0.213916,223.850586,-4.256935
2741.615234,0.418040,2682.681885,2659.061279,355.210876,23.672501,-692.440063,692.440063,NO,NO,0.409425,-104.007172,29.238586
3903.974609,0.634478,3392.358887,3353.943604,-509.079590,-3.848236,735.825317,735.825317,NO,NO,0.221376,-87.766953,54.052544
3120.138184,0.408484,3056.292236,3024.083984,442.536377,-11.557575,-168.934631,168.934631,YES,NO,0.417092,256.886169,0.740601
3546.208008,0.544875,3125.946533,3096.389648,-428.849487,-21.277115,267.924988,267.924988,NO,NO,0.044222,256.849274,-7.109612
4050.170410,0.581727,3281.156982,3260.104980,-371.091187,18.827637,786.670227,786.670227,NO,NO,0.000935,224.221130,-7.312622
3922.572021,0.591025,2993.666260,2964.374023,-417.761108,-60.616184,-35.766384,-35.766384,NO,NO,0.018856,38.334648,-57.456921
3237.894775,0.742368,2798.132324,2759.162354,-465.368164,-11.239136,618.481262,618.481262,YES,YES,0.813272,-117.518120,16.960102
3008.898682,-0.132790,2205.819824,2170.138428,395.146210,20.666420,-779.812256,779.812256,YES,YES,0.767318,-93.242912,1.153129
2914.728027,-0.210346,2099.916748,2077.020264,309.252563,31.000961,-732.172180,732.172180,NO,NO,0.185504,236.592438,-2.897007
2840.468506,-0.203438,2485.509033,2452.504883,403.703186,80.248695,-622.478333,622.478333,NO,YES,0.720940,223.419647,6.590710
2770.331543,-0.182081,2551.715332,2508.722168,466.437317,-71.935738,-19.160728,19.160728,YES,YES,0.954249,-40.934608,45.764320
2957.511475,-0.165097,2781.549072,2750.254395,416.073914,1.741810,-271.107361,271.107361,YES,YES,0.556159,258.907318,6.908062
2737.583984,-0.190439,2482.043213,2435.472656,478.552460,-19.437393,-292.306549,292.306549,YES,YES,0.978341,256.029175,14.258610
3124.479736,-0.124708,2254.456299,2218.693115,399.968109,16.643257,-570.920410,570.920410,YES,YES,0.718511,257.652069,4.617643
3087.730469,0.190877,2105.607910,2075.669678,-353.807434,15.253693,733.378113,733.378113,NO,NO,0.465997,252.503952,-0.184654
3016.552734,-0.059070,2881.408691,2826.653809,559.057190,-14.695248,-728.099854,728.099854,YES,YES,0.992898,-61.138012,-21.706881
2963.092529,0.154332,2668.956055,2625.544434,-479.418243,-45.772491,170.242004,170.242004,YES,YES,0.952100,256.315704,-12.057299
3376.201660,-0.094917,2672.627686,2642.498535,400.176819,18.933105,-776.706482,776.706482,NO,NO,0.135291,-90.336296,8.199519
3219.707031,0.104130,3002.586182,2969.871826,-442.024750,5.864006,597.589661,597.589661,NO,NO,0.368999,224.491806,-3.572901
3110.858643,-0.496261,3070.478516,3046.374512,-383.979614,14.211487,703.936401,703.936401,NO,NO,0.026662,-108.580223,31.626537
3163.172852,-0.602053,1814.915649,1795.721436,263.255127,2.145050,-718.614990,718.614990,NO,NO,0.021778,223.970306,1.569244
3027.968506,-0.639955,2381.843018,2348.889404,394.835205,9.714172,-614.198120,614.198120,NO,YES,0.651241,258.033752,14.101273
2675.103760,-0.250621,2551.620361,2521.436279,-391.311829,47.941956,734.498230,734.498230,YES,YES,0.768340,-122.558914,-28.276793
2716.007812,-0.475526,1884.143311,1871.892334,-214.511658,15.642441,552.961304,552.961304,NO,NO,0.015272,-88.945648,-15.278845
2489.792480,-0.402759,2255.136719,2234.105957,-307.265015,17.647537,680.955078,680.955078,NO,YES,0.706120,-112.323906,59.094921
3163.812988,-0.709484,2653.250732,2625.442383,383.135010,4.091949,-806.332520,806.332520,NO,NO,0.118811,258.893311,6.942177
2940.588623,-0.643872,2434.759277,2401.970703,398.232117,12.792633,-592.426453,592.426453,NO,YES,0.675139,257.141418,3.885765
