DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
2947.880371,-0.037935,1965.066406,1936.985352,331.019653,0.000000,0.000000,-0.000000,YES,YES,0.645241,738.458191,33.413071
3234.041504,0.195472,2320.370117,2302.149414,-290.217407,8.363640,655.453613,655.453613,NO,NO,0.047840,219.385696,-4.760616
3561.134521,0.388383,2805.244385,2788.564941,-305.453918,8.529587,700.776428,700.776428,NO,NO,0.003407,-146.896362,-83.537209
2946.472900,-0.211933,2071.906982,2045.676880,328.641266,13.312805,-440.879181,440.879181,NO,YES,0.561059,-86.311829,22.493366
2946.176758,-0.143707,2781.485596,2752.375244,401.363098,0.570408,-349.876251,349.876251,NO,YES,0.716833,103.037727,19.631729
2896.939209,0.121667,2710.999512,2683.679932,-383.901306,7.374599,240.476562,240.476562,YES,YES,0.676531,-150.576309,-11.535082
3079.020996,-0.251929,2771.203613,2745.630127,375.609436,3.861786,-306.662384,306.662384,NO,NO,0.384560,102.395828,66.686630
3005.093018,-0.259686,2718.952881,2691.821533,383.147003,0.048584,-303.863159,303.863159,NO,YES,0.568016,156.788864,44.954193
3067.628662,-0.100010,2874.852295,2846.315430,404.060913,-33.999863,-180.061661,180.061661,NO,YES,0.592955,-148.646881,67.524536
3037.797607,-0.196899,2802.373291,2774.874268,391.624390,3.292553,-324.133606,324.133606,NO,YES,0.560351,-85.793892,62.704033
