DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4263.119629,0.112241,4087.177002,4049.092285,-556.657166,-71.554062,-143.179153,-143.179153,YES,NO,0.047640,-80.538277,-55.534195
3921.828369,0.135214,3231.638672,3217.182129,-305.329742,12.335098,749.524231,749.524231,NO,NO,0.000526,-90.251984,-8.980193
3467.119141,0.150451,2805.327637,2778.855713,-384.478638,6.624718,792.300476,792.300476,NO,NO,0.117978,446.881836,-61.681499
4145.742676,-0.090359,3969.850098,3929.141846,567.057556,-110.486145,-115.738159,115.738159,NO,NO,0.138958,102.750313,46.536175
4111.810547,0.123880,3904.876709,3876.770996,-467.663422,11.698502,792.417969,792.417969,NO,NO,0.009021,-148.182999,-15.484537
3062.349121,0.130432,2781.663818,2750.850098,-412.888245,10.618454,812.241882,812.241882,NO,YES,0.689591,-89.093018,4.217412
3135.072510,-0.195480,2992.320068,2951.176758,494.503540,15.383347,-562.674927,562.674927,YES,YES,0.912563,230.943527,-27.262196
3077.823486,0.090406,2953.021973,2897.890381,-567.953369,-29.794849,224.076202,224.076202,YES,YES,0.990295,254.919785,-6.797598
2990.602783,0.119009,2732.768799,2684.031006,-513.812317,20.609734,892.881775,892.881775,YES,YES,0.982479,-98.105873,-8.467536
2035.291748,0.213229,1756.117188,1706.949097,-412.640228,14.530579,803.980469,803.980469,YES,YES,0.999683,248.664597,-7.567844
3388.680908,0.506465,3307.696533,3288.285889,357.815674,14.584747,-731.560181,731.560181,NO,NO,0.015691,-98.955261,-46.259567
3290.984375,0.637572,2567.791748,2508.702148,-547.694153,5.325562,677.635803,677.635803,YES,YES,0.987759,257.854614,-0.822098
2497.020020,0.594216,1366.768311,1271.502441,-501.335297,55.440296,139.016663,139.016663,YES,YES,1.000000,668.254639,55.220581
4054.114990,0.712784,3512.525391,3502.812988,-261.029053,-2.066772,713.999939,713.999939,NO,NO,0.000409,257.221375,-1.882271
3424.437500,0.532375,2911.670410,2852.141113,-585.761536,-4.554993,734.072266,734.072266,YES,YES,0.979632,-108.930344,-32.617889
3214.872314,-0.492770,2729.609863,2692.885254,446.250366,3.561157,-870.417297,870.417297,NO,YES,0.769063,256.256073,5.473785
2856.327393,-0.527153,2263.084473,2204.365479,512.175171,16.310623,-487.995026,487.995026,YES,YES,0.998003,255.400284,13.786240
3054.739746,-0.414978,1886.370239,1854.452881,345.538513,-4.887756,-809.116516,809.116516,NO,YES,0.740139,225.964203,-0.902313
2727.419189,-0.423824,2457.987061,2382.548584,604.286560,-20.483124,-550.413696,550.413696,YES,YES,0.999848,263.509888,6.920944
2901.219238,-0.292950,2602.650391,2543.636230,551.093628,-87.321533,-145.273529,145.273529,YES,YES,0.997201,9.449554,61.955067
