DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4555.107422,-0.049022,4130.123047,4106.765137,438.630829,11.540390,-711.718689,711.718689,NO,NO,0.004128,-126.701729,21.791237
4409.125488,0.085503,3886.481934,3871.613037,-339.639160,16.770454,708.948975,708.948975,NO,NO,0.001099,-112.590866,-3.820391
4487.581543,-0.093142,3915.577393,3901.990967,325.905273,11.220291,-699.107971,699.107971,NO,NO,0.000849,-113.417564,9.761723
4409.819336,-0.075163,3817.375000,3799.808594,365.797241,-12.812347,-239.855728,239.855728,NO,NO,0.001293,258.273529,0.121780
4390.792969,-0.071292,3815.572021,3796.557373,380.448181,22.414967,-113.939362,113.939362,NO,NO,0.001588,253.833862,6.064919
2986.449463,-0.100017,2429.661865,2402.802246,360.276428,-2.476057,-285.992157,285.992157,NO,YES,0.559358,224.185074,1.845074
2760.336670,0.106360,2598.571533,2565.474854,-413.415588,9.747622,343.009979,343.009979,YES,YES,0.908670,252.441437,-6.729588
3009.710205,-0.072107,2765.422119,2733.912598,416.270691,-12.719299,-302.883148,302.883148,YES,YES,0.752240,259.089081,7.631172
2996.041504,0.133911,2873.687012,2851.942139,-352.852295,-4.529577,154.351837,154.351837,YES,NO,0.190805,-29.543732,97.665184
3080.503418,-0.091007,2916.504150,2886.841064,414.902893,15.013645,-804.608948,804.608948,NO,YES,0.641131,-123.423691,1.598073
2611.200195,0.432752,2361.435059,2333.061035,364.968506,-28.066500,-87.566025,87.566025,YES,YES,0.871530,209.342987,-15.044739
3301.928223,0.485911,3160.028076,3141.782227,339.090820,17.440979,-568.217590,568.217590,NO,NO,0.015732,-93.122025,-83.073318
2847.437500,0.774927,2352.005127,2330.382568,-318.191101,-2.479584,755.600830,755.600830,NO,NO,0.387595,222.846649,-5.939285
3205.221191,0.624099,2440.791992,2420.756104,-312.099487,-16.172745,357.122070,357.122070,NO,NO,0.064261,215.832977,-2.201454
2808.747070,0.343397,2604.323730,2576.330811,380.818054,-24.211273,-250.915985,250.915985,YES,YES,0.759515,254.647339,3.550056
3386.086182,-0.310739,2399.653564,2378.969971,-314.387390,17.764038,456.159882,456.159882,YES,NO,0.040277,-100.378784,87.496162
3811.578857,-0.513128,2934.109131,2916.146973,324.166443,24.348938,-721.059448,721.059448,NO,NO,0.001783,182.944229,5.586823
2816.977539,-0.342897,2328.975342,2311.238525,-286.883362,24.069336,608.783813,608.783813,NO,NO,0.201506,-86.198334,-28.190277
3046.745117,-0.451286,2614.148926,2591.052002,346.733826,2.524307,-429.863342,429.863342,NO,NO,0.259620,-35.756180,5.254972
2762.206055,-0.662993,2310.405273,2275.862305,398.024109,-11.320557,-740.141724,740.141724,NO,YES,0.927790,221.011475,1.726089
