DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
3257.788086,-0.290807,2923.646240,2887.224365,460.046112,13.563751,-838.573364,838.573364,NO,YES,0.746328,-90.840530,61.898930
3284.133057,-0.221837,2739.610596,2705.555664,430.620667,7.496742,-349.503754,349.503754,YES,YES,0.626735,100.012810,57.873581
3315.250000,0.005067,2647.907471,2618.068115,-396.401062,14.755939,473.928253,473.928253,NO,NO,0.421440,228.751083,1.690860
2888.174072,-0.107051,2761.047852,2721.001221,468.547119,26.404696,-479.577057,479.577057,YES,YES,0.955002,183.467270,3.970980
3033.188965,0.117202,2200.635498,2172.908447,-348.232544,23.048492,712.245239,712.245239,NO,YES,0.556392,-146.958191,-38.904037
2910.921387,-0.137385,2751.535400,2717.943848,428.633575,11.298584,-644.803101,644.803101,YES,YES,0.864237,-148.969528,2.566599
2761.861084,-0.404452,2352.878662,2288.013672,548.664001,-17.827744,-509.066772,509.066772,YES,YES,0.999369,263.849854,-1.363541
3138.120605,-0.544324,2859.527588,2811.416992,522.333313,-1.694183,-661.509888,661.509888,YES,YES,0.966730,-107.888748,-8.719662
3183.008057,0.517832,2917.893066,2872.541504,-512.449219,22.140930,767.103088,767.103088,YES,YES,0.942006,260.700989,-5.697136
3662.544189,0.601826,2496.605713,2478.558105,-299.650085,4.268677,346.424774,346.424774,NO,NO,0.005141,-149.044067,38.414040
3274.135254,0.085548,2587.135742,2565.759277,-331.888428,15.465973,506.784454,506.784454,NO,NO,0.066339,-146.301590,5.590501
3378.500977,-0.458602,2415.876709,2394.875732,317.852173,-55.943317,-45.111778,45.111778,NO,NO,0.045326,-63.557884,42.622593
3457.911865,-0.595805,3047.637451,3029.397461,332.934326,-21.932716,-247.137421,247.137421,NO,NO,0.008498,260.953613,8.514900
3015.728516,-0.501494,2542.208496,2517.942871,350.410889,16.572159,-464.397766,464.397766,NO,NO,0.381307,189.571426,6.681221
3427.492432,0.695850,2783.605957,2764.002930,-329.773804,12.482208,280.761566,280.761566,NO,NO,0.017073,258.502045,-15.691406
2796.143066,0.376320,2003.491455,1974.846680,-337.577515,38.089874,751.123047,751.123047,NO,YES,0.784031,226.716614,-11.692345
2914.859131,-0.117466,2015.919189,1987.423584,337.753662,15.769915,43.472485,-43.472485,YES,YES,0.687042,-59.029549,57.117577
3376.449219,0.064910,2700.600830,2682.423340,-312.811005,15.560951,579.399963,579.399963,NO,NO,0.013489,-100.800095,-132.102646
2602.096924,0.131131,1944.374390,1919.877441,-307.673309,21.693333,646.849915,646.849915,NO,YES,0.795746,220.432632,-5.519426
3103.279297,-0.344004,2765.374756,2740.322998,371.386353,12.799896,-300.132568,300.132568,NO,NO,0.320246,-94.522629,10.124802
3007.823486,-0.205943,2490.198975,2465.185547,352.066345,11.504959,-443.161346,443.161346,NO,NO,0.443150,251.014923,4.025112
2998.024414,0.146255,2341.921387,2319.578857,322.723969,22.164429,-677.112366,677.112366,NO,NO,0.301556,-137.369232,1.778431
2875.829834,-0.112320,2730.558838,2700.613037,403.288544,-54.490261,-40.240044,40.240044,YES,YES,0.789417,8.039642,42.276451
3119.700684,0.042917,2535.714600,2379.948975,-875.038818,0.000000,0.000000,0.000000,YES,YES,1.000000,1218.801636,-23.706638
3634.322510,0.221986,2886.851807,2857.043213,413.784485,14.645264,-809.679016,809.679016,NO,NO,0.139372,-149.867905,19.716364
3580.178711,0.155300,3337.979248,3291.510254,-555.036316,-12.708138,238.986679,238.986679,YES,YES,0.832440,-149.443115,-57.198608
3559.339111,-0.027128,2833.474854,2819.121094,-284.843567,7.639839,689.075806,689.075806,NO,NO,0.001409,-147.007217,-5.460117
3544.664062,0.142803,3402.580322,3372.919434,448.293213,18.391457,-805.095642,805.095642,NO,NO,0.149227,-146.756454,43.871067
3507.029541,-0.076216,3287.020752,3260.301758,-418.256104,14.126720,804.010925,804.010925,NO,NO,0.082136,-152.076508,-21.672876
3225.083496,-0.065066,2985.836670,2960.223389,390.251343,7.499992,-797.816650,797.816650,NO,NO,0.217727,-97.387131,-2.496399
3615.306152,-0.015372,3295.366211,3277.992676,-337.939819,9.944420,730.286072,730.286072,NO,NO,0.003139,-108.946770,-0.923663
3590.000488,0.240285,3159.665039,3111.138184,-551.636292,-13.994919,298.165649,298.165649,YES,YES,0.852135,254.246658,-6.576115
2937.124512,0.146965,2705.585693,2681.214355,362.330414,23.504585,-781.772522,781.772522,NO,NO,0.463718,-73.093994,22.291834
3903.714111,-0.315240,3858.588135,3840.525879,-372.913818,-64.894333,792.956970,792.956970,NO,NO,0.004167,-101.128212,107.067444
3246.248535,0.281994,2878.231445,2825.758057,-547.090698,8.692772,425.215820,425.215820,YES,YES,0.973120,253.766388,-7.385399
4426.569824,0.637913,3798.423584,3769.727539,-466.022949,3.757538,893.090576,893.090576,NO,NO,0.003862,224.260376,-1.014992
2670.249512,-0.152543,2019.659790,1964.004517,470.862885,29.260910,-646.396118,646.396118,YES,YES,0.998831,-95.850700,8.787441
3027.849121,-0.225692,2772.549561,2740.522217,-420.201355,31.099518,806.653076,806.653076,YES,YES,0.756963,-96.363838,-20.058947
3274.400146,-0.267403,2919.373291,2888.842285,421.104614,13.660980,-807.705200,807.705200,NO,NO,0.488825,222.182404,3.305225
