DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy

4635.833008,0.038617,4538.680664,4519.309570,-418.878784,12.239358,627.003784,627.003784,NO,NO,0.006445,-97.172226,73.931976
4280.160156,0.047316,4018.531006,4001.527100,-369.285858,-19.156811,240.740555,240.740555,NO,NO,0.002617,-84.409897,219.140198
4332.967285,0.059416,4156.219238,4139.229004,-375.422424,-11.465324,29.437410,29.437410,NO,NO,0.003340,255.680573,-16.298164
4308.034668,-0.047575,4096.953125,4078.712158,386.177307,-42.664257,203.305710,-203.305710,NO,NO,0.003509,255.651108,9.179394
4347.318848,0.066298,4097.609375,4078.760254,-392.577606,19.256937,662.819275,662.819275,NO,NO,0.003492,-103.396774,-73.711975
3335.766113,0.465684,3206.347900,3189.354004,329.680786,7.980652,-380.244354,380.244354,NO,NO,0.008908,-85.396263,224.236649
3026.168213,0.626441,2566.996094,2535.951660,-398.017456,4.281830,816.492065,816.492065,NO,YES,0.707013,254.699661,-3.727852
2669.100342,0.357174,2257.253906,2239.237793,284.622131,25.202759,-592.706665,592.706665,NO,NO,0.390404,-122.631409,59.235802
2806.439697,0.560817,2290.724121,2268.275391,-319.913208,3.658661,336.075439,336.075439,NO,NO,0.487210,258.629700,-9.052872
3103.431396,-0.097042,2522.594727,2504.012939,305.620117,16.949162,-666.036377,666.036377,NO,NO,0.054137,-88.258606,4.374057
3292.897461,-0.074041,2425.916016,2404.619629,320.739319,4.711768,-268.433594,268.433594,NO,NO,0.070212,216.860809,16.049980
3303.526855,-0.090592,3125.537598,3104.090088,365.526978,-0.301537,-263.563354,263.563354,NO,NO,0.043570,-75.054741,232.919266
3231.872314,0.081737,2995.961670,2973.377930,-367.164581,6.065625,267.826477,267.826477,NO,NO,0.087132,221.628143,-3.737953
2934.175049,-0.102599,2713.175293,2687.563721,371.916077,-0.799829,-194.752411,194.752411,NO,YES,0.552206,256.679657,10.045805
3357.647217,-0.066398,2569.931152,2548.181885,333.639648,-13.670972,-226.229568,226.229568,NO,NO,0.054302,260.041748,6.385439
3503.676270,-0.474933,3366.312500,3345.458984,-374.118164,7.402679,400.596222,400.596222,NO,NO,0.015255,-95.222961,-41.082012
3301.397461,-0.258203,3069.904785,3047.844482,-367.367676,0.995167,133.479645,133.479645,YES,NO,0.054141,264.065613,-4.828072
3333.623535,-0.400618,2475.256104,2453.556396,327.038696,-21.925947,-65.689606,65.689606,NO,NO,0.064603,257.189331,8.970306
3013.618896,-0.333633,2803.624268,2784.770020,-324.598999,22.179657,669.630615,669.630615,NO,NO,0.070535,-105.504601,67.979752
3029.943115,-0.038219,2552.381104,2530.432617,-334.006226,12.549294,564.810486,564.810486,NO,NO,0.210276,-95.620590,-231.091965
