DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
4423.982910,0.079682,4200.202637,4166.926270,-527.663452,19.514496,960.339417,960.339417,NO,NO,0.055055,-118.093079,104.647911
4637.873535,0.066455,4414.578613,4385.607910,-504.919006,17.893776,845.373413,845.373413,NO,NO,0.037678,-144.974289,94.325287
4430.477539,0.077447,4289.523926,4253.267090,-556.539551,-1.202000,202.821075,202.821075,NO,NO,0.073492,232.923859,-3.828387
4367.863770,0.082620,4085.330811,4054.587891,-500.243103,35.920643,906.654053,906.654053,NO,NO,0.044428,-120.428307,-0.334939
3619.352783,0.097603,3262.661133,3212.916504,-567.559814,-45.424759,230.790802,230.790802,YES,YES,0.950936,255.507812,-0.560640
3984.996826,0.095150,3202.214844,3157.729492,-531.905701,2.739475,430.449707,430.449707,YES,NO,0.397068,252.638412,-7.460619
4351.660156,0.101531,4163.781250,4129.946777,-529.730591,21.861103,400.798645,400.798645,NO,NO,0.058806,-149.760773,-33.064751
4568.295410,0.068397,4354.242188,4321.487793,-533.073669,35.326572,948.773926,948.773926,NO,NO,0.051354,-104.446053,-1.904077
4209.233398,0.095156,3964.302979,3923.898193,-564.555054,-43.503075,128.911758,128.911758,NO,NO,0.115907,7.256854,-59.477730
4243.358398,0.050464,4052.438232,4012.140137,-570.076904,-94.107735,-22.915197,-22.915197,YES,NO,0.113888,262.552826,-12.864635
4105.224609,-0.121192,3966.394775,3933.557129,509.328583,-0.542095,-473.816132,473.816132,NO,NO,0.056115,-149.535309,30.805300
4143.729980,-0.111411,4002.353760,3965.352051,542.972107,-38.531162,-354.790588,354.790588,NO,NO,0.083806,-169.595245,14.520412
4214.848145,-0.136058,4083.366211,4060.110107,435.182495,10.810066,-636.820374,636.820374,NO,NO,0.029367,208.771652,-27.277754
4014.814209,0.027168,3790.135986,3769.995850,-390.208466,1.723778,746.459229,746.459229,NO,NO,0.027866,-87.855522,5.182966
4048.415283,-0.086492,3732.133545,3697.332520,508.481201,11.811356,-898.214966,898.214966,NO,NO,0.068823,-95.422058,8.273785
4224.002441,0.122173,4046.926025,4023.426514,-435.490662,14.070534,920.362793,920.362793,NO,NO,0.029563,-166.407028,14.761126
4522.140625,-0.049911,4260.576172,4237.048828,447.131348,11.157190,-788.842285,788.842285,NO,NO,0.029196,-64.937195,-172.701797
4378.888672,0.056127,4269.986328,4232.349121,-565.690674,-62.639732,33.992306,33.992306,NO,NO,0.085237,210.468552,-1.110864
4240.934570,0.048150,4017.506836,3984.731689,-512.127380,29.471493,999.094421,999.094421,NO,NO,0.054297,-114.092552,-8.593561
4452.690430,0.076034,4315.070801,4275.049805,-586.331055,-7.784578,301.792603,301.792603,NO,NO,0.106457,119.354439,-17.485432
4359.378906,-0.087223,3419.142090,3395.173584,404.139526,16.166603,-769.735291,769.735291,NO,NO,0.029807,-84.919434,16.743908
4386.496582,0.094988,3825.784424,3803.022705,-416.709595,20.833757,264.386871,264.386871,NO,NO,0.028727,266.690277,-10.103950
4129.066895,0.065449,3561.437744,3533.344238,-446.449280,-68.396469,108.087814,108.087814,NO,NO,0.037758,257.779419,-13.170620
4213.393555,0.089317,3598.285645,3567.881592,-466.777893,-44.858723,71.559227,71.559227,NO,NO,0.044443,286.446259,-8.021126
4341.627930,0.069097,4231.975586,4204.038574,-485.466553,-139.083649,-40.586765,-40.586765,NO,NO,0.036381,291.253174,-7.400422
2825.122314,0.469612,2775.578125,2749.532471,379.348877,24.925491,-640.726685,640.726685,NO,YES,0.678240,-85.371559,-31.343048
2974.786133,0.535385,2388.842529,2349.652344,-430.932495,19.626801,333.711578,333.711578,YES,YES,0.986487,255.243164,-8.049644
3603.435547,0.670300,2457.638916,2428.374512,-378.134705,8.702301,705.210876,705.210876,NO,NO,0.135551,230.982819,-6.361214
3161.774414,0.631342,2030.728638,2000.377686,-349.783447,13.665649,651.327332,651.327332,NO,YES,0.766195,256.926849,-8.943817
4140.112305,0.559902,4042.949707,4020.989746,420.815430,4.328094,-438.422913,438.422913,NO,NO,0.028520,-94.387436,-93.583206
2945.312012,0.485926,2522.924805,2506.972656,283.261047,14.410065,-594.851196,594.851196,NO,NO,0.054667,-87.408752,17.700281
2495.751221,0.267097,2215.479248,2182.802246,379.107788,32.751007,-803.780457,803.780457,YES,YES,0.991810,27.022171,74.455818
2801.731934,0.671517,2376.021973,2329.884766,-465.959045,11.875336,692.460144,692.460144,YES,YES,0.999002,-112.297073,-59.435974
2594.312012,0.410799,1839.100952,1828.625122,196.017029,14.795715,-492.654358,492.654358,NO,NO,0.114859,-107.375084,20.879721
2903.783691,0.601668,2255.150879,2220.102051,-396.045105,33.802017,570.643677,570.643677,NO,YES,0.972932,185.068680,-79.652863
2506.066895,0.374894,2402.583496,2368.470215,403.429993,34.519226,-766.773682,766.773682,YES,YES,0.993210,-111.836533,-63.155163
2810.144531,0.435217,2164.539795,2154.066406,212.676514,13.002670,-502.047028,502.047028,NO,NO,0.035542,-86.237854,-47.866219
2809.703613,0.537111,2251.301025,2215.379395,-400.563293,18.275986,518.848389,518.848389,NO,YES,0.986283,126.117264,-46.058159
3017.805908,0.701122,2456.668213,2427.352051,-378.392395,14.899292,491.703735,491.703735,NO,YES,0.747382,249.664169,-9.064659
3077.175293,0.655086,2228.427002,2193.812988,-391.243530,21.130859,534.603577,534.603577,NO,YES,0.935542,251.924774,-16.889908
3290.682861,0.451124,3253.958252,3232.490723,373.157715,-10.299561,-771.229187,771.229187,NO,NO,0.036276,-96.046677,-47.675392
3195.914795,0.466141,2766.170410,2726.649170,-465.921265,10.012177,908.606873,908.606873,NO,YES,0.955788,232.682800,-6.778748
3283.685059,0.711612,2723.094971,2700.982178,-346.325684,-1.917938,774.656494,774.656494,NO,NO,0.051346,220.219803,-4.895554
2682.401855,0.656401,1957.621948,1898.927979,-475.768799,-6.195877,495.481689,495.481689,YES,YES,0.999985,-106.059570,-17.430248
2853.946777,0.387718,2089.688965,2075.564453,242.554871,7.673187,-537.974731,537.974731,NO,NO,0.073600,-109.561852,18.176826
2988.745850,0.529049,2769.331787,2749.532959,330.554932,24.037903,-638.271179,638.271179,NO,NO,0.089559,-90.587860,-41.805397
3558.163330,0.362847,3078.817383,3060.945068,331.260010,23.067810,-653.979919,653.979919,NO,NO,0.027760,-103.979843,-56.260216
2963.666260,0.428114,2836.271729,2811.769043,372.012085,25.346115,-645.840210,645.840210,NO,NO,0.375414,-101.771111,-50.817490
3438.766357,0.668249,2734.960938,2716.189697,-319.881836,-3.893097,703.897583,703.897583,NO,NO,0.027962,-95.658875,-86.255188
3022.099365,0.370792,2514.061035,2495.772217,302.695496,15.658340,-695.106384,695.106384,NO,NO,0.064283,-92.996590,25.610798
3108.173828,0.430598,2897.204590,2876.005859,349.834351,21.985641,-644.058350,644.058350,NO,NO,0.074710,-98.732819,26.377483
3340.727051,-0.115072,3154.714600,3122.626709,448.805115,-4.570509,-247.278275,247.278275,NO,NO,0.475286,232.341507,1.730362
3168.344971,-0.124270,2235.286621,2211.112305,327.855591,14.300255,-792.202332,792.202332,NO,NO,0.212786,-112.198746,3.762853
