DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
3592.500488,0.086464,3456.404541,3413.204346,-544.765381,7.545403,373.389679,373.389679,NO,YES,0.793494,-138.892166,-35.215820
3781.309326,0.219298,2797.803711,2767.447998,-411.020874,-6.343597,800.861084,800.861084,NO,NO,0.054875,248.096100,-3.090931
3328.057617,-0.229649,3001.374756,2953.029785,536.531921,6.783356,-492.950836,492.950836,YES,YES,0.989195,238.041473,6.355637
3813.891602,-0.231064,3532.181152,3498.298828,488.063782,13.300690,-791.594116,791.594116,NO,NO,0.069177,-125.960205,21.718645
4030.151123,0.214120,3753.558105,3709.340088,-574.450928,12.955780,873.456909,873.456909,NO,NO,0.236461,-93.265610,0.093035
3000.754395,0.036752,2602.593018,2576.480957,367.744080,8.235153,-810.167480,810.167480,NO,NO,0.496304,-153.530930,33.688301
3515.914795,0.102502,3363.015625,3318.309814,-546.530396,15.989536,313.010193,313.010193,YES,YES,0.903143,147.524338,-23.498737
3095.882812,-0.165760,2684.480225,2652.621582,412.350006,17.426437,-799.816040,799.816040,NO,YES,0.798191,255.324890,2.725136
3905.823730,0.649147,3491.954102,3447.557129,-555.061401,-3.356415,685.079102,685.079102,NO,NO,0.449222,-47.988720,-13.147984
3208.002197,0.389947,3149.030518,3124.737305,390.396973,-2.524994,-736.791809,736.791809,NO,NO,0.124187,-95.621300,-44.635433
3956.636475,-0.415457,3366.701416,3341.417969,411.829651,13.208893,-873.834656,873.834656,NO,NO,0.032626,1048.201782,16.304565
3752.747070,-0.320115,3106.335693,3081.767578,389.913086,15.594177,-930.030090,930.030090,NO,NO,0.032418,546.648865,5.019135
3525.384033,0.585084,3076.815186,3019.566162,-590.771423,-114.145554,-310.662537,-310.662537,YES,YES,0.995485,723.882324,31.229492
3588.912598,0.392670,2528.245117,2485.419434,-463.372131,21.173981,808.358887,808.358887,YES,YES,0.908044,437.512207,-11.546280
3237.447021,-0.341627,2375.510742,2329.273193,466.409851,10.530273,-785.840820,785.840820,YES,YES,0.993059,231.272202,3.362198
3327.225830,0.182231,2468.694336,2454.817383,261.388733,10.530037,-597.254822,597.254822,NO,NO,0.027995,-93.045135,10.550983
3683.224121,-0.428238,2916.483887,2888.929443,399.954773,-0.880310,-949.675598,949.675598,NO,NO,0.041028,-141.096588,20.090607
3444.555908,-0.530489,2712.946777,2650.859375,577.082092,-42.081940,-385.682678,385.682678,YES,YES,0.999374,473.374634,-26.195786
3477.481934,-0.473621,2399.157471,2338.532959,535.929871,-103.853142,-72.340202,72.340202,YES,YES,0.999291,771.995605,-26.190369
3774.697266,-0.487569,2894.644287,2864.514648,416.558716,-4.365845,-858.571167,858.571167,NO,NO,0.051106,-129.278748,18.856052
2987.921631,-0.154280,2479.588623,2461.329346,-300.361572,15.035118,597.132751,597.132751,NO,NO,0.077119,-87.174911,-19.527863
3396.141357,-0.363896,2691.469971,2650.744385,466.438568,31.980835,-909.920898,909.920898,NO,YES,0.924765,230.706360,8.507675
4003.759033,0.837812,3374.135742,3368.194824,-200.137329,-6.876526,589.398743,589.398743,NO,NO,0.028793,231.833466,-2.929108
4198.645996,0.682977,3381.560547,3362.734375,-356.328125,-6.794525,726.326904,726.326904,NO,NO,0.027749,-127.617363,-94.376961
2410.046387,-0.014118,1685.572876,1648.417358,351.959869,19.965023,-685.636719,685.636719,YES,YES,0.999423,232.051132,-1.793622
2959.428711,-0.039791,2712.290039,2680.039062,-417.022583,18.074436,772.549866,772.549866,YES,YES,0.893553,-145.017502,-22.386114
3016.225586,-0.268709,2638.790039,2583.652832,536.611328,10.457932,-445.086151,445.086151,YES,YES,0.999599,245.207245,7.814289
2484.097656,0.103914,2240.137207,2214.360840,-338.851501,5.992340,830.083069,830.083069,NO,YES,0.931520,-166.881042,9.727680
2831.695068,0.332771,2421.171875,2367.711914,-505.978424,22.764053,646.203613,646.203613,YES,YES,0.999793,250.212540,-10.980591
2927.679443,-0.342456,1993.998779,1956.624268,384.255768,7.821762,-765.636780,765.636780,NO,YES,0.989207,204.494690,0.112320
2743.471436,-0.099345,2505.168945,2481.799805,-341.383118,11.305046,685.904846,685.904846,NO,YES,0.578419,-84.106285,-5.173890
3390.553711,0.184429,3193.254883,3161.690918,-447.869507,11.837738,930.233521,930.233521,NO,NO,0.355107,-165.702271,5.259781
3138.814453,-0.324384,2612.141357,2559.734619,520.615417,17.879608,-617.504578,617.504578,YES,YES,0.998734,262.970673,8.149071
