DistanceToGoal,Angle_to_goal,DistanceToOpp,OppX,OppY,OppVx,OppVy,VtowardsBall,Success,PredictedSucess,Probability,Rvx,Rvy
2560.361084,-0.056929,1803.298584,1771.308350,-338.160431,17.465935,773.716248,773.716248,YES,YES,0.835907,-157.563690,19.816145
2649.319092,-0.065642,2375.372070,2333.078125,-446.249451,30.157848,847.960083,847.960083,YES,YES,0.993389,261.950195,-4.126886
2533.401855,0.049655,2382.589355,2336.568359,466.026489,34.524597,-826.631592,826.631592,YES,YES,0.998411,245.957581,10.423708
2268.912109,-0.144110,2002.057373,1952.320312,443.484497,14.463310,-899.283752,899.283752,YES,YES,0.999672,273.112823,6.176968
2429.121094,-0.069829,2013.515991,1980.512451,-363.066040,22.950050,771.307739,771.307739,YES,YES,0.962543,-149.008102,-15.133589
2504.346924,-0.330857,2187.096191,2130.689453,493.509583,22.418457,-794.553223,794.553223,YES,YES,0.999757,265.835358,9.847656
2698.583252,0.474038,1902.326294,1818.802124,-557.498169,-29.430916,-5.186884,-5.186884,YES,YES,0.999983,816.758362,29.965729
3150.709961,-0.506221,2055.285156,2028.706421,329.464844,7.931274,-764.503662,764.503662,NO,NO,0.378209,-150.300079,-29.198418
2660.562988,-0.289430,2325.392578,2277.648438,468.794403,19.036636,-831.010681,831.010681,YES,YES,0.997536,225.304428,7.075714
2694.909668,-0.206827,2439.921631,2399.963623,-439.763885,29.030243,751.419556,751.419556,YES,YES,0.987506,242.750717,-0.185688
2544.688965,0.034403,2194.934082,2160.201904,388.926483,8.541874,-786.965210,786.965210,YES,YES,0.968046,-149.880829,33.807640
2108.416260,0.120775,1819.030029,1771.799316,-411.822083,19.685722,766.769348,766.769348,YES,YES,0.999715,243.409943,-9.509617
2512.783691,0.152795,1611.635742,1565.001465,384.889618,16.652420,-815.308960,815.308960,YES,YES,0.996503,-153.842850,2.690905
2576.436279,-0.020945,1834.493652,1799.521973,-356.493408,18.850145,705.968079,705.968079,YES,YES,0.932858,-140.297882,-12.041224
2727.407471,0.139999,1879.165771,1832.832886,414.713928,12.703461,-780.565125,780.565125,YES,YES,0.990752,-146.209320,11.826530
2599.847168,-0.000505,2365.164551,2320.409424,457.934113,20.728111,-852.452576,852.452576,YES,YES,0.996939,255.114487,6.645881
1979.759155,0.052118,1300.549683,1265.651123,-299.260132,29.643366,700.664246,700.664246,YES,YES,0.996075,-93.898575,-33.696629
3436.439697,-0.237810,2550.036377,2499.437500,505.467773,5.062561,-593.260437,593.260437,YES,YES,0.942810,-103.180489,62.543522
2877.029541,-0.108947,2316.530273,2275.614990,-433.461273,27.607368,747.552246,747.552246,YES,YES,0.966252,239.250244,-5.340609
3635.363770,-0.387436,3087.874268,3036.006592,563.587646,11.888580,-946.104370,946.104370,YES,YES,0.918453,920.980652,-2.321960
3982.051514,-0.663942,2888.283203,2845.040771,497.918335,9.841400,-781.317261,781.317261,NO,NO,0.446463,247.384155,1.023438
3162.528564,-0.183177,3005.077148,2985.488770,-342.555359,21.517296,647.985352,647.985352,NO,NO,0.052076,23.875301,-14.925041
3260.891846,-0.243936,2987.295410,2935.792236,552.320068,22.112488,-839.252441,839.252441,YES,YES,0.986497,250.947327,4.598969
2793.958496,0.223935,2533.882812,2481.865723,-510.787842,26.627884,762.210999,762.210999,YES,YES,0.998491,-96.177460,-4.665838
2901.564453,0.050467,2731.409912,2700.482422,409.872467,16.452785,-767.136780,767.136780,NO,YES,0.769248,-141.707489,23.371130
3869.307617,-0.400155,3067.407471,3023.911377,514.732056,17.276306,-969.177429,969.177429,NO,NO,0.474364,1399.533936,-1.399475
2906.362793,0.021652,2688.047607,2658.710938,396.048950,15.551092,-843.833984,843.833984,NO,YES,0.641777,-157.936874,-24.291971
3335.849609,0.502550,2896.906006,2863.262939,-440.215088,-10.636139,817.238342,817.238342,NO,NO,0.300502,-137.603104,18.931767
2619.073486,0.148298,2454.458496,2389.676270,560.192017,20.603455,-511.587921,511.587921,YES,YES,0.999900,241.070831,6.938892
3528.939453,-0.488180,3118.344238,3053.251465,633.818848,-78.401993,-159.528992,159.528992,YES,YES,0.992259,723.382935,-67.241638
3730.290527,-0.477640,2643.871094,2616.114502,382.097717,0.586609,-777.824951,777.824951,NO,NO,0.116766,-132.739014,60.630787
3424.363525,-0.374582,3107.346191,3066.134766,504.398193,12.436829,-867.599854,867.599854,NO,YES,0.776696,654.522827,26.506287
2559.797119,0.096176,2088.917725,2035.809814,468.033600,26.534973,-804.226440,804.226440,YES,YES,0.999273,242.153992,8.347420
2573.447510,0.426160,2173.248779,2096.648682,-571.905029,-218.271698,-284.715607,-284.715607,YES,YES,0.999981,1029.585815,47.875214
2517.579346,0.114771,1906.593994,1871.465454,364.304321,24.398430,-727.515747,727.515747,YES,YES,0.960127,241.723175,3.683485
