Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.15581866,3313.5742,3103.7437,3066.1414,481.66653,False
0.11847608,4359.379,3419.142,3395.1736,404.13953,False
0.13451205,3287.1365,2975.1448,2948.27,398.98712,False
0.13019183,3357.6472,2569.9312,2548.182,333.63965,False
0.10444137,3377.675,2936.03,2920.0315,306.08582,False
0.16924226,3195.9148,2766.1704,2726.6492,465.92126,False
0.16273029,3430.4736,3190.885,3148.7292,516.96497,False
1.3581147,3038.3677,1112.9615,234.92592,1087.8848,True
0.123829976,3275.2737,2842.6003,2820.834,351.10022,False
0.19391921,2927.6794,1993.9988,1956.6243,384.25577,False
0.091349445,4278.6216,3826.4387,3810.4846,349.05713,False
0.15770434,3370.3162,2659.1135,2626.1152,417.61768,False
0.13547748,3432.763,2947.3416,2920.3347,398.07806,False
0.14572431,3055.1006,2610.7046,2583.0337,379.09808,False
0.092864044,4266.323,3949.9634,3932.9436,366.28256,False
0.09439977,4308.0347,4096.953,4078.7122,386.1773,False
0.1568396,3107.3838,2855.731,2820.6792,446.05768,True
0.11589644,3537.2974,3278.0845,3256.0933,379.06836,False
0.11136595,3503.6763,3366.3125,3345.459,374.11816,False
0.12633912,2841.1777,1965.5902,1949.9241,247.67084,False
0.09489101,4249.6235,3787.3088,3770.2703,358.84244,False
0.16687904,3984.9968,3202.2148,3157.7295,531.9057,True
0.15977229,2760.3367,2598.5715,2565.4749,413.4156,True
0.1837795,2097.8872,1314.8228,1292.6812,240.27954,True
0.14228807,3152.1301,2949.5012,2919.6938,418.26416,False
0.098382734,4386.3936,4097.921,4078.1047,402.5146,False
0.1867401,3057.6318,2835.85,2786.5479,526.49445,True
0.1067859,2594.312,1839.101,1828.6251,196.01703,False
0.12394,3170.7236,2473.2847,2454.3127,305.7547,False
0.18458322,2951.221,2350.3425,2310.4167,431.37442,True
0.16418247,2886.935,2636.6384,2601.182,430.94763,False
0.13275568,3002.198,2750.1326,2725.9338,364.02426,False
0.17313832,2762.206,2310.4053,2275.8623,398.0241,False
