Angle,DistanceToGoal,DistanceToOpp,OppX,OppY,Success
0.14604814,3522.193,3188.9387,3154.9888,464.0846,False
0.14219736,2852.2947,2649.2532,2622.5142,375.44855,False
0.12145143,3103.4314,2522.5947,2504.013,305.62012,False
0.19327524,2588.964,2112.6584,2073.3218,405.78717,True
0.14178476,2933.3228,2153.2563,2131.6494,304.2771,False
0.10001014,3739.689,3214.9197,3198.8555,320.9889,False
0.09229294,4097.038,3809.537,3793.3237,351.09445,False
0.17809011,2354.2498,2194.2146,2159.5105,388.7056,True
0.09300532,4257.7905,4033.146,4015.7156,374.56354,False
0.1622559,3603.7498,3288.8643,3245.6663,531.2992,True
0.14210512,3126.304,2858.6638,2829.8484,404.86487,False
0.100292325,3279.7373,2446.5618,2434.2673,244.9602,False
0.10438368,3974.236,3554.2605,3534.9143,370.33337,False
0.13595867,3079.021,2771.2036,2745.6301,375.60944,False
0.08363673,4254.6943,3857.884,3844.399,322.2848,False
0.14794804,3472.0942,3006.3086,2973.4663,443.15662,False
0.21435183,3444.556,2712.9468,2650.8594,577.0821,True
0.2103552,2410.0464,1685.5729,1648.4174,351.95987,True
0.17873271,3077.576,2760.4607,2716.4858,490.7619,True
0.17729741,2893.9812,2411.0542,2373.2583,425.2376,True
0.09045115,4332.9673,4156.219,4139.229,375.42242,False
0.12935564,2620.9036,2508.2205,2487.2646,323.54834,True
0.08942313,4281.2695,3937.2383,3921.5068,351.6111,False
0.14347814,2635.3733,1906.9344,1887.3401,272.66565,True
0.16711538,3507.4404,3342.2126,3295.6511,555.93896,True
0.11462622,4637.8735,4414.5786,4385.608,504.919,False
0.14011392,2806.4397,2290.724,2268.2754,319.9132,False
0.13662061,4263.1196,4087.177,4049.0923,556.65717,True
0.13845325,2789.7136,2596.1099,2571.2666,358.29254,True
0.14583679,3502.9736,3160.3909,3126.842,459.26917,False
0.13613948,3484.5752,3038.9233,3010.8052,412.44067,False
0.09290572,4225.8643,4024.019,4006.665,373.31683,False
0.13983278,2904.8472,1984.7119,1965.3397,276.62424,False
0.1287665,4105.2246,3966.3948,3933.5571,509.32858,False
0.15697259,3066.5886,2914.4036,2878.571,455.60498,True
0.16098383,3152.1104,2861.425,2824.427,458.6561,True
0.1433313,4145.7427,3969.85,3929.1418,567.05756,False
0.15620002,3761.4595,3128.5205,3090.4326,486.69025,False
0.09753347,4065.1218,3647.7651,3630.4287,355.2154,False
0.17741339,2796.1282,2003.9718,1972.5162,353.66925,True
0.14177358,3000.7544,2602.593,2576.481,367.74408,False
0.13092396,3044.236,2825.0361,2800.8584,368.80914,False
0.15195633,3093.9592,2954.9666,2920.916,447.29984,True
0.14715306,2842.2056,2005.867,1984.1884,294.10532,False
0.16449293,2941.95,2763.3777,2726.0762,452.50897,True
0.12555353,3411.8762,3147.4941,3122.7185,394.14157,False
0.14924487,3349.9453,2837.2717,2805.7317,421.87805,False
0.19320725,3525.384,3076.8152,3019.5662,590.7714,True
